"Search Parameters"	"Year"	"Mo"	"Dy"	"Country"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"
"[""1900 <= Year >= 2020"",""Region = Central America""]"																	
	1965	5	3	"EL SALVADOR"	100	"EL SALVADOR:  SAN MARCOS"	13.5	-89.3	23	6	6	125	3	1138	4	35	4
	1968	1	4	"NICARAGUA"	100	"NICARAGUA:  MANAGUA"	12.1	-86.2	5	4.6						2	2
	1972	12	23	"NICARAGUA"	100	"NICARAGUA:  MANAGUA"	12.4	-86.1	5	6.2		10000	4	20000	4	2968	4
	1973	4	14	"COSTA RICA"	100	"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO"	10.679	-84.759	33	6.5		26	1	100	2	0.2	1
	1976	3	13	"GUATEMALA"	100	"GUATEMALA"	14.767	-91.061	5	5.1		4	1	50	1		2
	1976	7	11	"PANAMA"	100	"PANAMA: DARIEN"	7.4	-78.1	22	6.7		5	1	7	1		1
	1978	7	29	"GUATEMALA"	100	"GUATEMALA:  PATZUN"	14.843	-91.022	10	4.5		17	1		3		2
	1979	7	1	"PANAMA"	100	"PANAMA-COSTA RICA:  PUERTO ARMUELLES"	8.316	-82.943	28	6.5						2	2
	1979	10	9	"GUATEMALA"	100	"GUATEMALA"	14.321	-90.082	33	4.7	7			40	1		2
	1979	10	27	"GUATEMALA"	100	"GUATEMALA"	13.833	-90.881	58	6.8		4	1	23	1		2
	1980	5	18	"GUATEMALA"	100	"GUATEMALA:  S COAST"	14.716	-91.317	105	5.3							1
	1980	8	9	"HONDURAS"	100	"HONDURAS;  N GUATEMALA:  IZABEL PROVINCE"	15.888	-88.516	22	6.4		2	1		3		2
	1982	1	12	"HONDURAS"	100	"HONDURAS:  AMPALA, MASAYA"	13.158	-87.589	6	6				2	1		2
	1982	6	19	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR; GUATEMALA"	13.313	-89.339	82	6.2	7	43	1		3	5	2
	1982	9	29	"HONDURAS"	100	"HONDURAS-GUATEMALA-EL SALVADOR"	14.487	-89.121	12	5.1	4	3	1	2	1		2
	1983	4	3	"COSTA RICA"	100	"COSTA RICA:  SE, PANAMA: W"	8.717	-83.123	37	7.3		6	1		2	1	2
	1983	7	3	"COSTA RICA"	100	"COSTA RICA:  SAN JOSE"	9.652	-83.688	33	6.2	9	2	1	60	2	5	2
	1985	10	11	"GUATEMALA"	100	"GUATEMALA:  SAN MIGUEL UPSANTAN"	15.299	-90.863	5	4.5	7				3		2
	1985	12	16	"NICARAGUA"	100	"NICARAGUA:  RIVAS,  MASAYA"	11.725	-85.838	22	6	6			6	1		1
	1986	2	3	"GUATEMALA"	100	"GUATEMALA:  IXCHIGUAN, SAN MARCOS PROVINCE"	15.075	-92.072	16	4.7							2
	1986	10	10	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR"	13.827	-89.118	7	5.4		1100	4	10000	4	1500	4
	1988	11	3	"GUATEMALA"	100	"GUATEMALA:  S PALIN, SAN VICENTE PACAYA"	13.881	-90.45	69	6	6	5	1		2		2
	1990	3	25	"COSTA RICA"	100	"COSTA RICA:  PUNTARENAS, SAN JOSE"	9.919	-84.808	22	7	8			15	1		2
	1990	6	8	"COSTA RICA"	100	"COSTA RICA:  SANTIAGO DE PURISCAL"	9.855	-84.327	10	4.6							1
	1990	12	22	"COSTA RICA"	100	"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL"	9.869	-84.302	17	5.7	8	2	1	350	3	19.5	3
	1991	5	4	"PANAMA"	100	"PANAMA:  CHANGUINOLA, ALMIRANTE, BOCAS DEL TORO"	9.542	-82.418	10	6.2				36	1		2
	1991	8	9	"COSTA RICA"	100	"COSTA RICA:  CARTAGO"	9.737	-84.054	5	4.7							1
	1991	9	18	"GUATEMALA"	100	"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA"	14.646	-90.986	5	6.2	6	25	1	200	3		3
	1992	9	2	"NICARAGUA"	100	"NICARAGUA:  MASACHAPA; COSTA RICA"	11.727	-87.386	40	7.7			1				
	1993	7	10	"COSTA RICA"	100	"COSTA RICA:  TURRIALBA, CARTAGO"	9.821	-83.622	20	5.8		2	1	9	1		1
	1993	9	10	"GUATEMALA"	100	"GUATEMALA:  SOUTHWEST; MEXICO:  CHIAPAS"	14.717	-92.645	34	7.2		1	1	3	1		2
	1998	1	10	"GUATEMALA"	100	"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA"	14.374	-91.473	33	6.6				27	1		1
	1999	7	11	"GUATEMALA"	100	"GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W"	15.782	-88.33	10	6.7		2	1	40	1		2
	2000	7	6	"NICARAGUA"	100	"NICARAGUA:  MASAYA"	11.884	-85.988	33	5.4		7	1	42	1		3
	2000	11	8	"PANAMA"	100	"PANAMA-COLOMBIA:  JURADO"	7.042	-77.829	17	6.5				2	1		2
	2001	1	13	"EL SALVADOR"	100	"EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT."	13.049	-88.66	60	7.7	8	844	3	4723	4	753	4
	2001	2	13	"EL SALVADOR"	100	"EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP"	13.671	-88.938	10	6.6	6	315	3	3399	4	348.5	4
	2001	5	8	"EL SALVADOR"	100	"EL SALVADOR:  CONCHAGUA"	13.605	-88.795	10	5.7		1	1				2
	2002	7	31	"PANAMA"	100	"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL"	7.929	-82.793	10	6.5	7			11	1		2
	2003	8	13	"PANAMA"	100	"PANAMA:  COLON, PANAMA CITY"	9.355	-79.941	54	5.4							1
	2003	12	25	"PANAMA"	100	"PANAMA-COSTA RICA:  PUERTO ARMUELLES"	8.416	-82.824	33	6.5		2	1	75	2		2
	2004	2	4	"PANAMA"	100	"PANAMA-COSTA RICA:  CHIRIQUI"	8.358	-82.877	29	6.1				4	1		1
	2004	10	1	"NICARAGUA"	100	"NICARAGUA:  CHINANDEGA, LEON"	11.989	-86.52	87	5.6							1
	2004	11	20	"COSTA RICA"	100	"COSTA RICA:  SAN JOSE, PARRITA, QUEPOS"	9.602	-84.172	16	6.4		8	1		2		3
	2006	5	4	"PANAMA"	100	"PANAMA:  BOQUETE"	8.898	-82.543		4.5							1
	2007	6	13	"GUATEMALA"	100	"GUATEMALA:  GUATEMALA CITY"	13.554	-90.618	23	6.7							1
	2008	1	5	"GUATEMALA"	100	"GUATEMALA:  COLOMBA, FLORES, COSTA CUCA"	14.129	-91.479	66	5.6							1
	2008	4	15	"GUATEMALA"	100	"GUATEMALA"	13.564	-90.599	33	6.1							1
	2008	5	26	"COSTA RICA"	100	"PANAMA-COSTA RICA"	8.423	-82.968	13	5.6							1
