time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-11-14T15:40:50.530Z,-22.247,-69.89,40,7.7,mwc,610,22.4,,1.11,us,usp000fshy,2020-07-08T02:10:11.158Z,"36 km ESE of Tocopilla, Chile",earthquake,,,,,reviewed,us,gcmt
2007-09-10T01:49:11.780Z,2.966,-77.963,15,6.8,mwc,653,17.6,,0.89,us,usp000fmtk,2020-09-18T21:45:51.047Z,"39 km WNW of Timbiquí, Colombia",earthquake,,,,,reviewed,us,gcmt
2007-08-15T23:40:57.890Z,-13.386,-76.603,39,8,mwc,625,25.7,,0.86,us,usp000fjta,2021-03-10T00:06:14.811Z,"41 km SW of San Vicente de Cañete, Peru",earthquake,,,,,reviewed,us,gcmt
2007-06-13T19:29:40.180Z,13.554,-90.618,23,6.7,mwc,468,37.7,,1.09,us,usp000fdyv,2020-09-18T21:36:42.314Z,"43 km SSE of Iztapa, Guatemala",earthquake,,,,,reviewed,us,gcmt
2006-10-20T10:48:56.010Z,-13.457,-76.677,23,6.7,mwc,444,53.4,,0.97,us,usp000evkn,2020-09-18T21:13:30.108Z,"52 km SW of San Vicente de Cañete, Peru",earthquake,,,,,reviewed,us,gcmt
2006-08-25T00:44:46.160Z,-24.403,-67.028,184,6.6,mwb,454,24.4,,0.94,us,usp000erpk,2017-04-26T18:06:11.610Z,"74 km WSW of San Antonio de los Cobres, Argentina",earthquake,,,,,reviewed,us,us
2006-04-30T21:40:58.440Z,-27.211,-71.056,12,6.5,mwc,282,46.3,,1.26,us,usp000efw2,2020-09-18T20:59:39.582Z,"73 km WNW of Copiapó, Chile",earthquake,,,,,reviewed,us,hrv
2006-04-30T19:17:14.980Z,-27.017,-71.022,12,6.7,mwb,277,25.6,,1.19,us,usp000efv7,2021-02-24T22:04:00.521Z,"78 km WNW of Copiapó, Chile",earthquake,,,,,reviewed,us,us
2006-01-04T08:32:32.400Z,28.164,-112.117,14,6.6,mwc,323,48.2,,1.25,us,usp000e7jp,2020-09-18T20:50:47.562Z,"75 km SSW of Bahía de Kino, Mexico",earthquake,,,,,reviewed,us,hrv
2005-11-17T19:26:54.490Z,-22.361,-67.895,147,6.8,mwb,509,30.1,,0.9,us,usp000e4cy,2020-09-18T20:47:07.458Z,"68 km NNE of San Pedro de Atacama, Chile",earthquake,,,,,reviewed,us,us
2005-09-26T01:55:37.670Z,-5.678,-76.398,115,7.5,mwb,696,26.2,,0.88,us,usp000e09h,2020-09-18T20:41:40.561Z,"39 km NW of Yurimaguas, Peru",earthquake,,,,,reviewed,us,us
2005-07-02T02:16:43.700Z,11.245,-86.172,27,6.6,mwc,446,21.1,,1.12,us,usp000dubj,2021-02-18T19:24:09.659Z,"32 km W of San Juan del Sur, Nicaragua",earthquake,,,,,reviewed,us,hrv
2005-06-13T22:44:33.900Z,-19.987,-69.197,115.6,7.8,mwb,714,16.1,,1.01,us,usp000dsw1,2021-01-05T03:16:54.394Z,"102 km ENE of Iquique, Chile",earthquake,,,,,reviewed,us,us
2005-05-05T19:12:21.410Z,5.71,-82.845,18,6.5,mwc,190,62.4,,1.26,us,usp000dpzp,2016-11-10T01:05:48.565Z,"256 km S of Punta de Burica, Panama",earthquake,,,,,reviewed,us,hrv
2004-12-14T23:20:13.360Z,18.958,-81.409,10,6.8,mwb,639,21.8,,1.04,us,usp000daqt,2020-09-18T20:14:57.469Z,"36 km S of George Town, Cayman Islands",earthquake,,,,,reviewed,us,us
2004-11-28T02:35:13.410Z,-26.525,-113.834,10,6.6,mwc,265,52,,1.4,us,usp000d9f2,2016-11-10T00:53:30.069Z,"Easter Island region",earthquake,,,,,reviewed,us,hrv
2004-11-15T09:06:56.560Z,4.695,-77.508,15,7.2,mwb,708,50.2,,0.9,us,usp000d8gx,2020-07-08T01:46:38.367Z,"32 km SSW of Pizarro, Colombia",earthquake,,,,,reviewed,us,us
2004-10-09T21:26:53.690Z,11.422,-86.665,35,7,mwc,441,32.2,,1.1,us,usp000d63h,2020-07-08T01:40:08.512Z,"43 km SSW of Masachapa, Nicaragua",earthquake,,,,,reviewed,us,hrv
2004-08-28T13:41:25.600Z,-35.173,-70.525,5,6.5,mwb,349,30.1,,,us,usp000d30e,2020-09-18T20:02:24.179Z,"67 km ESE of Teno, Chile",earthquake,,,,,reviewed,guc,us
2004-05-03T04:36:50.040Z,-37.695,-73.406,21,6.6,mwb,282,46.9,,1.31,us,usp000cu1z,2020-09-18T19:54:21.075Z,"11 km N of Cañete, Chile",earthquake,,,,,reviewed,us,us
2003-12-25T07:11:11.590Z,8.416,-82.824,33,6.5,mwb,405,48.4,,1.2,us,usp000cfzw,2020-09-18T19:44:54.315Z,"3 km SSE of Progreso, Panama",earthquake,,,,,reviewed,us,us
2003-12-22T19:15:56.240Z,35.7005,-121.1005,8.382,6.5,mw,65,71,0.04685,0.07,nc,nc21323712,2020-08-14T17:23:56.082Z,"10 km NE of San Simeon, California",earthquake,0.16,0.6,,4,reviewed,nc,nc
2003-06-20T13:30:41.640Z,-30.608,-71.637,33,6.8,mwc,398,39.1,,0.95,us,usp000c0bb,2020-09-18T19:28:23.461Z,"42 km W of Ovalle, Chile",earthquake,,,,,reviewed,us,hrv
2003-06-20T06:19:38.910Z,-7.606,-71.722,558.1,7.1,mwc,672,22.5,,0.89,us,usp000c0ag,2018-09-28T19:56:05.712Z,"105 km E of Cruzeiro do Sul, Brazil",earthquake,,,,,reviewed,us,hrv
2003-01-22T02:06:34.610Z,18.77,-104.104,24,7.6,mwb,551,,,1.4,us,usp000bnyr,2020-08-14T16:57:39.249Z,"16 km SSW of Cuyutlán, Mexico",earthquake,,,,,reviewed,us,us
2003-01-21T02:46:47.740Z,13.626,-90.774,24,6.5,mwc,316,,,0.99,us,usp000bnx3,2020-07-08T01:19:11.851Z,"33 km S of Puerto San José, Guatemala",earthquake,,,,,reviewed,us,hrv
2002-10-12T20:09:11.460Z,-8.295,-71.738,534.3,6.9,mwc,700,,,1.14,us,usp000bed7,2017-04-26T18:00:45.605Z,"108 km W of Tarauacá, Brazil",earthquake,,,,,reviewed,us,hrv
2002-10-03T16:08:29.620Z,23.324,-108.53,10,6.5,mwc,265,,,1.37,us,usp000bdqx,2016-11-10T00:47:41.569Z,"111 km ESE of La Rivera, Mexico",earthquake,,,,,reviewed,us,hrv
2002-07-31T00:16:44.610Z,7.929,-82.793,10,6.5,mwc,533,,,1.21,us,usp000b923,2020-09-18T18:58:30.820Z,"14 km SE of Punta de Burica, Panama",earthquake,,,,,reviewed,us,hrv
2002-06-18T13:56:22.830Z,-30.805,-71.124,54,6.6,mwb,420,,,1.02,us,usp000b6du,2020-09-18T18:56:01.489Z,"20 km SW of Monte Patria, Chile",earthquake,,,,,reviewed,us,us
2002-04-18T16:08:36.780Z,-27.535,-70.586,62,6.7,mwb,462,,,1.09,us,usp000b2p9,2020-09-18T18:50:12.223Z,"31 km SW of Copiapó, Chile",earthquake,,,,,reviewed,us,us
2002-04-18T05:02:46.190Z,16.985,-100.865,24.9,6.8,mwc,292,,,1.13,us,usp000b2mv,2020-09-18T18:49:54.939Z,"27 km SSW of Nuxco, Mexico",earthquake,,3.4,,,reviewed,us,hrv
2002-03-28T04:56:22.400Z,-21.663,-68.329,125.1,6.5,mwc,486,,,0.98,us,usp000b17z,2020-09-18T18:47:49.719Z,"107 km NE of Calama, Chile",earthquake,,,,,reviewed,us,hrv
2001-08-06T03:52:59.510Z,-55.537,-123.422,10,6.7,mwc,294,,,1.08,us,usp000akwv,2016-11-10T00:42:09.127Z,"southern East Pacific Rise",earthquake,,,,,reviewed,us,hrv
2001-07-07T09:38:43.520Z,-17.543,-72.077,33,7.6,mwc,398,,,1.15,us,usp000aj40,2020-09-18T18:27:20.842Z,"51 km SW of Punta de Bombón, Peru",earthquake,,,,,reviewed,us,hrv
2001-07-05T13:53:48.360Z,-16.086,-73.987,62,6.6,mwc,324,,,1.38,us,usp000aj1a,2020-09-18T18:27:06.544Z,"31 km S of Achanizo, Peru",earthquake,,,,,reviewed,us,hrv
2001-06-26T04:18:31.380Z,-17.745,-71.649,24,6.7,mwc,422,,,1.06,us,usp000ahfr,2020-09-18T18:25:30.419Z,"34 km WSW of Pacocha, Peru",earthquake,,,,,reviewed,us,hrv
2001-06-23T20:33:14.130Z,-16.265,-73.641,33,8.4,mww,518,,,1.05,official,official20010623203314130_33,2020-08-14T20:50:43.254Z,"6 km SSW of Atico, Peru",earthquake,,,,,reviewed,us,official
2001-04-09T09:00:57.170Z,-32.668,-73.109,11,6.7,mwc,314,,,1.14,us,usp000acv4,2016-11-10T00:31:05.595Z,"144 km WNW of Valparaíso, Chile",earthquake,,,,,reviewed,us,hrv
2001-02-13T14:22:05.820Z,13.671,-88.938,10,6.6,mwc,273,,,1.44,us,usp000a9jv,2020-08-14T14:18:21.464Z,"5 km S of Cojutepeque, El Salvador",earthquake,,,,,reviewed,us,hrv
2001-01-13T17:33:32.380Z,13.049,-88.66,60,7.7,mwc,427,,,1.13,us,usp000a7m5,2021-02-01T21:45:51.335Z,"28 km SSW of Puerto El Triunfo, El Salvador",earthquake,,,,,reviewed,us,hrv
2000-12-20T11:23:54.100Z,-39.008,-74.662,11,6.5,mwc,253,,,1.05,us,usp000a6e0,2016-11-10T00:14:52.822Z,"134 km WSW of Carahue, Chile",earthquake,,,,,reviewed,us,hrv
2000-11-08T06:59:58.860Z,7.042,-77.829,17,6.5,mwc,462,,,1.01,us,usp000a373,2020-09-15T21:47:19.496Z,"10 km SW of Juradó, Colombia",earthquake,,,,,reviewed,us,hrv
2000-08-09T11:41:47.900Z,18.198,-102.48,45.8,6.5,mwc,481,,,1.05,us,usp0009y65,2020-07-08T01:00:01.904Z,"24 km NNW of El Habillal, Mexico",earthquake,,2.2,,,reviewed,us,hrv
2000-05-12T18:43:18.120Z,-23.548,-66.452,225,7.2,mwc,,,,0.86,us,usp0009suu,2020-09-15T21:22:20.596Z,"75 km N of San Antonio de los Cobres, Argentina",earthquake,,4.6,,,reviewed,us,hrv
